tree_number	ui	name
B03.353.500.500	D008087	Listeria
B03.353.500.500.500	D008089	Listeria monocytogenes
B03.353.500.700	D058641	Planococcaceae
B03.353.500.875	D056509	Thermoactinomyces
B03.353.563	D000082623	Caldicellulosiruptor
B03.353.625	D000068016	Clostridiales
B03.353.625.250	D045856	Butyrivibrio
B03.353.625.250.500	D000070097	Butyrivibrio fibrisolvens
B03.353.625.375	D000073561	Clostridiaceae
B03.353.625.375.750	D012505	Sarcina
B03.353.625.657	D000082682	Clostridioides
B03.353.625.657.500	D016360	Clostridioides difficile
B03.353.625.750	D005051	Eubacterium
B03.353.625.766	D000070036	Faecalibacterium
B03.353.625.766.500	D000070037	Faecalibacterium prausnitzii
B03.353.625.774	D000086242	Neglecta
B03.353.625.782	D010459	Peptococcaceae
B03.353.625.782.149	D045858	Desulfitobacterium
B03.353.625.782.297	D045859	Desulfotomaculum
B03.353.625.782.593	D010460	Peptococcus
B03.353.625.798	D010462	Peptostreptococcus
B03.353.625.806	D045857	Ruminococcus
B03.353.688	D004888	Erysipelothrix
B03.353.750	D056546	Lactobacillales
B03.353.750.030	D056567	Aerococcaceae
B03.353.750.030.014	D058835	Abiotrophia
B03.353.750.030.030	D056570	Aerococcus
B03.353.750.130	D056568	Carnobacteriaceae
B03.353.750.130.150	D056573	Carnobacterium
B03.353.750.250	D056569	Enterococcaceae
B03.353.750.250.250	D016983	Enterococcus
B03.353.750.250.250.280	D013293	Enterococcus faecalis
B03.353.750.250.250.300	D016984	Enterococcus faecium
B03.353.750.250.250.475	D000070076	Enterococcus hirae
B03.353.750.250.250.650	D065507	Vancomycin-Resistant Enterococci
B03.353.750.450	D007777	Lactobacillaceae
B03.353.750.450.475	D007778	Lactobacillus
B03.353.750.450.475.100	D007779	Lactobacillus acidophilus
B03.353.750.450.475.238	D000070003	Lactobacillus crispatus
B03.353.750.450.475.250	D048668	Lactobacillus delbrueckii
B03.353.750.450.475.363	D000069998	Lactobacillus gasseri
B03.353.750.450.475.400	D052198	Lactobacillus helveticus
B03.353.750.450.475.453	D000069999	Lactobacillus johnsonii
B03.353.750.450.475.506	D052199	Lactobacillus leichmannii
B03.353.750.450.475.586	D000070018	Lactobacillus pentosus
B03.353.750.450.475.612	D048191	Lactobacillus plantarum
B03.353.750.450.606	D000093622	Lacticaseibacillus
B03.353.750.450.606.500	D007780	Lacticaseibacillus casei
B03.353.750.450.606.750	D000069980	Lacticaseibacillus paracasei
B03.353.750.450.606.875	D052201	Lacticaseibacillus rhamnosus
B03.353.750.450.623	D000070256	Latilactobacillus sakei
B03.353.750.450.639	D052196	Levilactobacillus brevis
B03.353.750.450.656	D000069996	Ligilactobacillus salivarius
B03.353.750.450.672	D052197	Limosilactobacillus fermentum
B03.353.750.450.705	D052200	Limosilactobacillus reuteri
B03.353.750.450.737	D010376	Pediococcus
B03.353.750.450.737.500	D000070016	Pediococcus acidilactici
B03.353.750.450.737.750	D000070006	Pediococcus pentosaceus
B03.353.750.475	D056584	Leuconostocaceae
B03.353.750.475.450	D007934	Leuconostoc
B03.353.750.475.450.500	D000070007	Leuconostoc mesenteroides
B03.353.750.475.600	D056585	Oenococcus
B03.353.750.475.900	D058836	Weissella
B03.353.750.737	D013289	Streptococcaceae
B03.353.750.737.500	D017045	Lactococcus
B03.353.750.737.500.400	D013294	Lactococcus lactis
B03.353.750.737.872	D013291	Streptococcus
B03.353.750.737.872.100	D013292	Streptococcus agalactiae
B03.353.750.737.872.150	D016985	Streptococcus bovis
B03.353.750.737.872.225	D018502	Streptococcus equi
B03.353.750.737.872.243	D000070099	Streptococcus gallolyticus
B03.353.750.737.872.243.500	D000070197	Streptococcus gallolyticus subspecies gallolyticus
B03.353.750.737.872.260	D054773	Streptococcus gordonii
B03.353.750.737.872.405	D000070058	Streptococcus iniae
B03.353.750.737.872.550	D013296	Streptococcus pneumoniae
B03.353.750.737.872.575	D013297	Streptococcus pyogenes
B03.353.750.737.872.663	D000070001	Streptococcus salivarius
B03.353.750.737.872.750	D017011	Streptococcus suis
B03.353.750.737.872.800	D048249	Streptococcus thermophilus
B03.353.750.737.872.875	D034363	Viridans Streptococci
B03.353.750.737.872.875.475	D034364	Streptococcus milleri Group
B03.353.750.737.872.875.475.080	D034366	Streptococcus anginosus
B03.353.750.737.872.875.475.150	D034365	Streptococcus constellatus
B03.353.750.737.872.875.475.400	D034367	Streptococcus intermedius
B03.353.750.737.872.875.500	D034361	Streptococcus mitis
B03.353.750.737.872.875.520	D013295	Streptococcus mutans
B03.353.750.737.872.875.600	D019533	Streptococcus oralis
B03.353.750.737.872.875.700	D013298	Streptococcus sanguis
B03.353.750.737.872.875.750	D016986	Streptococcus sobrinus
B03.353.937	D046968	Thermoanaerobacter
B03.353.968	D046950	Thermoanaerobacterium
B03.353.984	D045854	Veillonellaceae
B03.370	D045182	Fusobacteria
B03.370.250	D005673	Fusobacterium
