tree_number	ui	name
B03.440.450.425.275	D004754	Enterobacter
B03.440.450.425.275.099	D021902	Enterobacter aerogenes
B03.440.450.425.275.200	D016972	Enterobacter cloacae
B03.440.450.425.300	D004885	Erwinia
B03.440.450.425.300.050	D044084	Erwinia amylovora
B03.440.450.425.325	D004925	Escherichia
B03.440.450.425.325.300	D004926	Escherichia coli
B03.440.450.425.325.300.330	D054308	Enteropathogenic Escherichia coli
B03.440.450.425.325.300.340	D054307	Enterotoxigenic Escherichia coli
B03.440.450.425.325.300.360	D048168	Escherichia coli K12
B03.440.450.425.325.300.580	D000072282	Extraintestinal Pathogenic Escherichia coli
B03.440.450.425.325.300.580.500	D056689	Uropathogenic Escherichia coli
B03.440.450.425.325.300.800	D054323	Shiga-Toxigenic Escherichia coli
B03.440.450.425.325.300.800.250	D054324	Enterohemorrhagic Escherichia coli
B03.440.450.425.325.300.800.250.250	D000069981	Escherichia coli O104
B03.440.450.425.325.300.800.250.500	D019453	Escherichia coli O157
B03.440.450.425.375	D020595	Hafnia
B03.440.450.425.375.050	D020611	Hafnia alvei
B03.440.450.425.425	D007709	Klebsiella
B03.440.450.425.425.580	D041121	Klebsiella oxytoca
B03.440.450.425.425.600	D007711	Klebsiella pneumoniae
B03.440.450.425.435	D044086	Kluyvera
B03.440.450.425.500	D020596	Morganella
B03.440.450.425.500.500	D020613	Morganella morganii
B03.440.450.425.580	D020636	Pantoea
B03.440.450.425.585	D044043	Pectobacterium
B03.440.450.425.585.120	D016973	Pectobacterium carotovorum
B03.440.450.425.590	D020637	Photorhabdus
B03.440.450.425.595	D016981	Plesiomonas
B03.440.450.425.600	D011511	Proteus
B03.440.450.425.600.501	D011513	Proteus mirabilis
B03.440.450.425.600.650	D044095	Proteus penneri
B03.440.450.425.600.800	D011514	Proteus vulgaris
B03.440.450.425.670	D011532	Providencia
B03.440.450.425.800	D012475	Salmonella
B03.440.450.425.800.100	D012476	Salmonella arizonae
B03.440.450.425.800.200	D019779	Salmonella enterica
B03.440.450.425.800.200.300	D012477	Salmonella enteritidis
B03.440.450.425.800.200.600	D012482	Salmonella paratyphi A
B03.440.450.425.800.200.700	D012484	Salmonella paratyphi B
B03.440.450.425.800.200.750	D012479	Salmonella paratyphi C
B03.440.450.425.800.200.800	D012485	Salmonella typhi
B03.440.450.425.800.200.825	D012486	Salmonella typhimurium
B03.440.450.425.814	D012705	Serratia
B03.440.450.425.814.620	D044090	Serratia liquefaciens
B03.440.450.425.814.664	D012706	Serratia marcescens
B03.440.450.425.850	D012760	Shigella
B03.440.450.425.850.175	D012761	Shigella boydii
B03.440.450.425.850.350	D012762	Shigella dysenteriae
B03.440.450.425.850.450	D012763	Shigella flexneri
B03.440.450.425.850.800	D012764	Shigella sonnei
B03.440.450.425.887	D044106	Wigglesworthia
B03.440.450.425.890	D020593	Xenorhabdus
B03.440.450.425.900	D015007	Yersinia
B03.440.450.425.900.300	D015008	Yersinia enterocolitica
B03.440.450.425.900.600	D015010	Yersinia pestis
B03.440.450.425.900.615	D015011	Yersinia pseudotuberculosis
B03.440.450.425.900.650	D044124	Yersinia ruckeri
B03.440.450.510	D034221	Moritella
B03.440.450.600	D015661	Pasteurellaceae
B03.440.450.600.224	D064206	Aggregatibacter
B03.440.450.600.224.500	D016976	Aggregatibacter actinomycetemcomitans
B03.440.450.600.224.750	D064207	Aggregatibacter aphrophilus
B03.440.450.600.224.875	D064208	Aggregatibacter segnis
B03.440.450.600.450	D006190	Haemophilus
B03.440.450.600.450.125	D006191	Haemophilus ducreyi
B03.440.450.600.450.330	D006193	Haemophilus influenzae
B03.440.450.600.450.330.150	D019741	Haemophilus influenzae type b
B03.440.450.600.450.665	D044134	Haemophilus paragallinarum
B03.440.450.600.450.675	D044135	Haemophilus parainfluenzae
B03.440.450.600.450.690	D044136	Haemophilus paraphrophilus
B03.440.450.600.450.700	D044137	Haemophilus parasuis
B03.440.450.600.450.750	D044138	Haemophilus somnus
B03.440.450.600.500	D031121	Mannheimia
B03.440.450.600.500.500	D016978	Mannheimia haemolytica
B03.440.450.600.600	D010325	Pasteurella
B03.440.450.600.600.500	D016979	Pasteurella multocida
B03.440.450.600.600.650	D044142	Pasteurella pneumotropica
B03.440.450.650	D020638	Rahnella
B03.440.450.690	D020592	Shewanella
B03.440.450.690.590	D020614	Shewanella putrefaciens
B03.440.450.900	D014737	Vibrionaceae
B03.440.450.900.050	D059706	Aliivibrio
B03.440.450.900.050.860	D048908	Aliivibrio fischeri
B03.440.450.900.050.930	D044165	Aliivibrio salmonicida
B03.440.450.900.500	D053526	Listonella
B03.440.450.900.604	D010776	Photobacterium
B03.440.450.900.859	D014733	Vibrio
B03.440.450.900.859.030	D044149	Vibrio alginolyticus
B03.440.450.900.859.225	D014734	Vibrio cholerae
B03.440.450.900.859.225.075	D044163	Vibrio cholerae non-O1
B03.440.450.900.859.225.151	D041241	Vibrio cholerae O1
B03.440.450.900.859.225.200	D041242	Vibrio cholerae O139
B03.440.450.900.859.500	D044164	Vibrio mimicus
B03.440.450.900.859.550	D014736	Vibrio parahaemolyticus
B03.440.450.900.859.900	D041261	Vibrio vulnificus
B03.440.450.980	D017355	Zymomonas
B03.440.475	D019688	Gram-Negative Oxygenic Photosynthetic Bacteria
B03.440.475.100.655	D048928	Prochlorophytes
B03.440.475.100.655.600	D048929	Prochlorococcus
B03.440.475.100.655.620	D019691	Prochloron
B03.440.475.100.655.640	D019692	Prochlorothrix
B03.440.500	D016998	Helicobacter
B03.440.500.250	D044922	Helicobacter felis
B03.440.500.350	D018247	Helicobacter heilmannii
B03.440.500.362	D044923	Helicobacter hepaticus
B03.440.500.450	D045502	Helicobacter mustelae
B03.440.500.550	D016480	Helicobacter pylori
B03.440.520	D020639	Lawsonia Bacteria
B03.440.540	D020581	Methylosinus
B03.440.540.500	D020602	Methylosinus trichosporium
B03.440.595	D044130	Oceanospirillaceae
B03.440.612	D044147	Piscirickettsiaceae
B03.440.619	D000090643	Planctomycetes
B03.440.619.500	D061328	Planctomycetales
B03.440.623	D016992	Rhodobacter
B03.440.623.225	D016354	Rhodobacter capsulatus
B03.440.623.700	D012242	Rhodobacter sphaeroides
B03.440.645	D020623	Rhodomicrobium
B03.440.646	D041903	Rhodovulum
B03.440.664	D000076944	Rickettsiales
B03.440.664.750	D000710	Anaplasmataceae
B03.440.664.750.050	D000709	Anaplasma
B03.440.664.750.050.100	D042321	Anaplasma centrale
B03.440.664.750.050.500	D042322	Anaplasma marginale
B03.440.664.750.050.575	D042323	Anaplasma ovis
B03.440.664.750.050.600	D041081	Anaplasma phagocytophilum
B03.440.664.750.287	D004536	Ehrlichia
B03.440.664.750.287.090	D041061	Ehrlichia canis
B03.440.664.750.287.150	D018469	Ehrlichia chaffeensis
B03.440.664.750.287.700	D016995	Ehrlichia ruminantium
B03.440.664.750.525	D041102	Neorickettsia
B03.440.664.750.525.700	D041103	Neorickettsia risticii
B03.440.664.750.525.720	D041101	Neorickettsia sennetsu
B03.440.680	D041904	Roseobacter
B03.440.840	D043167	Spirillaceae
B03.440.840.750	D013139	Spirillum
B03.440.860	D008973	Tenericutes
B03.440.860.074	D000129	Acholeplasmataceae
B03.440.860.074.150	D000127	Acholeplasma
B03.440.860.074.150.500	D000128	Acholeplasma laidlawii
B03.440.860.074.575	D045582	Phytoplasma
B03.440.860.300	D060366	Entomoplasmatales
B03.440.860.300.250	D045622	Entomoplasmataceae
B03.440.860.300.750	D016991	Spiroplasmataceae
B03.440.860.300.750.625	D013149	Spiroplasma
B03.440.860.300.750.625.500	D045642	Spiroplasma citri
B03.440.860.580	D009179	Mycoplasmatales
B03.440.860.580.553	D009178	Mycoplasmataceae
B03.440.860.580.553.553	D009174	Mycoplasma
B03.440.860.580.553.553.050	D045644	Mycoplasma agalactiae
B03.440.860.580.553.553.075	D045645	Mycoplasma arthritidis
B03.440.860.580.553.553.195	D045646	Mycoplasma bovigenitalium
B03.440.860.580.553.553.200	D045682	Mycoplasma bovis
B03.440.860.580.553.553.210	D045623	Mycoplasma capricolum
B03.440.860.580.553.553.220	D045684	Mycoplasma conjunctivae
B03.440.860.580.553.553.267	D045685	Mycoplasma dispar
B03.440.860.580.553.553.315	D016858	Mycoplasma fermentans
B03.440.860.580.553.553.345	D045686	Mycoplasma gallisepticum
B03.440.860.580.553.553.355	D045704	Mycoplasma genitalium
B03.440.860.580.553.553.400	D019535	Mycoplasma hominis
B03.440.860.580.553.553.420	D045705	Mycoplasma hyopneumoniae
B03.440.860.580.553.553.425	D045790	Mycoplasma hyorhinis
B03.440.860.580.553.553.430	D045791	Mycoplasma hyosynoviae
B03.440.860.580.553.553.450	D045793	Mycoplasma iowae
B03.440.860.580.553.553.570	D045794	Mycoplasma meleagridis
B03.440.860.580.553.553.585	D009176	Mycoplasma mycoides
B03.440.860.580.553.553.630	D045795	Mycoplasma orale
B03.440.860.580.553.553.635	D045802	Mycoplasma ovipneumoniae
B03.440.860.580.553.553.645	D018661	Mycoplasma penetrans
B03.440.860.580.553.553.650	D009177	Mycoplasma pneumoniae
B03.440.860.580.553.553.670	D045803	Mycoplasma pulmonis
B03.440.860.580.553.553.720	D045804	Mycoplasma salivarium
B03.440.860.580.553.553.770	D045805	Mycoplasma synoviae
B03.440.860.580.553.900	D014509	Ureaplasma
B03.440.860.580.553.900.800	D016990	Ureaplasma urealyticum
B03.440.930	D061327	Verrucomicrobia
B03.440.930.500	D000086102	Akkermansia
B03.510	D006094	Gram-Positive Bacteria
B03.510.024	D039903	Actinobacteria
B03.510.024.049	D000192	Actinomycetales
B03.510.024.049.025	D000082403	Actinomadura
B03.510.024.049.050	D000191	Actinomycetaceae
B03.510.024.049.050.050	D000190	Actinomyces
B03.510.024.049.050.050.050	D016924	Actinomyces viscosus
B03.510.024.049.050.287	D055667	Arcanobacterium
B03.510.024.049.050.525	D017904	Mobiluncus
B03.510.024.049.075	D000082502	Amycolatopsis
B03.510.024.100	D001644	Bifidobacterium
B03.510.024.100.125	D000070005	Bifidobacterium adolescentis
B03.510.024.100.250	D000069982	Bifidobacterium animalis
B03.510.024.100.313	D000069985	Bifidobacterium bifidum
B03.510.024.100.375	D000069984	Bifidobacterium breve
B03.510.024.100.500	D000069978	Bifidobacterium longum
B03.510.024.100.500.500	D000070236	Bifidobacterium longum subspecies infantis
B03.510.024.100.750	D000070257	Bifidobacterium pseudocatenulatum
B03.510.024.175	D001951	Brevibacterium
B03.510.024.213	D040143	Cellulomonas
B03.510.024.232	D000086162	Clavibacter
B03.510.024.250	D003352	Corynebacterium
B03.510.024.250.100	D040142	Brevibacterium flavum
B03.510.024.250.150	D003353	Corynebacterium diphtheriae
B03.510.024.250.300	D048230	Corynebacterium glutamicum
B03.510.024.250.600	D016925	Corynebacterium pseudotuberculosis
B03.510.024.250.625	D003355	Corynebacterium pyogenes
B03.510.024.288	D000086182	Dermatophilus
B03.510.024.325	D040161	Frankia
B03.510.024.400	D016975	Gardnerella
B03.510.024.400.800	D006194	Gardnerella vaginalis
B03.510.024.700	D033601	Gordonia Bacterium
B03.510.024.775	D000083822	Microbacterium
B03.510.024.850	D008835	Micrococcaceae
B03.510.024.850.050	D001173	Arthrobacter
B03.510.024.850.500	D008837	Micrococcus
B03.510.024.850.500.500	D016982	Micrococcus luteus
B03.510.024.850.750	D000084402	Renibacterium
B03.510.024.962	D009159	Mycobacteriaceae
B03.510.024.962.500	D009161	Mycobacterium
B03.510.024.962.500.300	D009162	Mycobacterium avium
B03.510.024.962.500.300.600	D016927	Mycobacterium avium subsp. paratuberculosis
B03.510.024.962.500.402	D009163	Mycobacterium bovis
B03.510.024.962.500.480	D018393	Mycobacterium haemophilum
B03.510.024.962.500.502	D009166	Mycobacterium leprae
B03.510.024.962.500.602	D009167	Mycobacterium lepraemurium
B03.510.024.962.500.640	D009168	Mycobacterium phlei
B03.510.024.962.500.702	D009169	Mycobacterium tuberculosis
B03.510.024.962.500.720	D009170	Nontuberculous Mycobacteria
B03.510.024.962.500.720.050	D000073358	Mycobacterium abscessus
B03.510.024.962.500.720.100	D015269	Mycobacterium avium Complex
B03.510.024.962.500.720.225	D016926	Mycobacterium chelonae
B03.510.024.962.500.720.325	D019907	Mycobacterium fortuitum
B03.510.024.962.500.720.400	D019909	Mycobacterium kansasii
B03.510.024.962.500.720.500	D019910	Mycobacterium marinum
B03.510.024.962.500.720.625	D015359	Mycobacterium scrofulaceum
B03.510.024.962.500.720.662	D020102	Mycobacterium smegmatis
B03.510.024.962.500.720.700	D019911	Mycobacterium ulcerans
B03.510.024.962.500.720.950	D019912	Mycobacterium xenopi
B03.510.024.981	D009618	Nocardiaceae
B03.510.024.981.550	D009615	Nocardia
B03.510.024.981.550.550	D009616	Nocardia asteroides
B03.510.024.981.775	D012240	Rhodococcus
B03.510.024.981.775.700	D016929	Rhodococcus equi
B03.510.024.986	D000083962	Nocardioides
B03.510.024.988	D000086262	Nocardiopsis
B03.510.024.990	D011423	Propionibacteriaceae
B03.510.024.990.600	D011424	Propionibacterium
B03.510.024.990.600.600	D011425	Propionibacterium acnes
B03.510.024.990.600.800	D000070002	Propionibacterium freudenreichii
B03.510.024.993	D000084382	Pseudonocardia
B03.510.024.998	D054851	Tropheryma
B03.510.400	D006095	Gram-Positive Cocci
B03.510.400.200	D034301	Deinococcus
B03.510.400.630.600	D058642	Planococcus Bacteria
B03.510.460	D016987	Gram-Positive Rods
B03.510.460.400	D006093	Gram-Positive Asporogenous Rods
B03.510.460.400.400	D016988	Gram-Positive Asporogenous Rods, Irregular
B03.510.460.400.400.024	D045855	Acetobacterium
B03.510.460.400.400.049.957	D000086324	Thermobifida
B03.510.460.400.400.049.971	D000084442	Thermomonospora
B03.510.460.400.410	D016989	Gram-Positive Asporogenous Rods, Regular
B03.585	D000072738	Nitrogen-Fixing Bacteria
B03.585.200	D042062	Beijerinckiaceae
B03.660	D020560	Proteobacteria
B03.660.050	D020561	Alphaproteobacteria
B03.660.050.340	D042281	Holosporaceae
B03.660.050.350	D041921	Hyphomicrobiaceae
B03.660.050.350.400	D020582	Hyphomicrobium
B03.660.050.512	D042083	Methylocystaceae
B03.660.050.600	D059127	Phyllobacteriaceae
B03.660.050.600.500	D059128	Mesorhizobium
B03.660.050.662.347	D000086202	Liberibacter
B03.660.050.750	D041902	Rhodobacteraceae
B03.660.050.755	D012245	Rhodospirillales
B03.660.050.783.500.762	D020577	Wolbachia
B03.660.050.783.875	D012287	Rickettsiaceae
B03.660.050.783.875.650	D016996	Rickettsieae
B03.660.050.783.875.650.450	D000084162	Orientia
B03.660.050.783.875.650.450.500	D012285	Orientia tsutsugamushi
B03.660.050.783.875.650.650	D012281	Rickettsia
B03.660.050.783.875.650.650.040	D041141	Rickettsia akari
B03.660.050.783.875.650.650.180	D020114	Rickettsia conorii
B03.660.050.783.875.650.650.320	D041161	Rickettsia felis
B03.660.050.783.875.650.650.600	D012283	Rickettsia prowazekii
B03.660.050.783.875.650.650.650	D012284	Rickettsia rickettsii
B03.660.050.783.875.650.650.810	D012286	Rickettsia typhi
B03.660.050.800	D042301	Sphingomonadaceae
B03.660.075	D020562	Betaproteobacteria
B03.660.075.090	D000073556	Burkholderiales
B03.660.075.090.688.100	D019117	Burkholderia
B03.660.075.090.688.100.110	D042602	Burkholderia cepacia complex
B03.660.075.090.688.100.110.490	D057508	Burkholderia cenocepacia
B03.660.075.090.688.100.110.500	D016956	Burkholderia cepacia
B03.660.075.090.688.100.355	D042725	Burkholderia gladioli
B03.660.075.090.688.100.477	D042726	Burkholderia mallei
B03.660.075.090.688.100.600	D016957	Burkholderia pseudomallei
B03.660.075.090.688.600	D043367	Ralstonia
B03.660.075.090.688.600.600	D049920	Ralstonia pickettii
B03.660.075.090.688.600.750	D043368	Ralstonia solanacearum
B03.660.075.090.941	D000086326	Xylophilus
B03.660.075.400	D043363	Hydrogenophilaceae
B03.660.075.655	D043362	Rhodocyclaceae
B03.660.125	D020564	Deltaproteobacteria
B03.660.125.144	D000076642	Desulfovibrionales
B03.660.125.500	D009231	Myxococcales
B03.660.125.500.605	D016940	Myxococcus
B03.660.125.500.605.900	D016941	Myxococcus xanthus
B03.660.125.500.658	D000086323	Sorangium
B03.660.125.500.710	D020597	Stigmatella
B03.660.125.500.710.050	D020606	Stigmatella aurantiaca
B03.660.150	D020565	Epsilonproteobacteria
B03.660.150.235	D000074707	Campylobacterales
B03.660.150.235.250	D000073557	Campylobacteraceae
B03.660.150.235.500	D000073569	Helicobacteraceae
B03.660.250	D020563	Gammaproteobacteria
B03.660.250.018	D000074762	Aeromonadales
B03.660.250.019	D053521	Alcanivoraceae
B03.660.250.021	D034241	Alteromonadaceae
B03.660.250.021.480	D053520	Marinobacter
B03.660.250.080.775	D000086322	Rappaport
B03.660.250.110	D002841	Chromatiaceae
B03.660.250.139	D000083042	Dickeya
B03.660.250.139.500	D016974	Dickeya chrysanthemi
B03.660.250.540.500	D053544	Marinomonas
B03.660.250.565.600	D053522	Piscirickettsia
B03.660.250.915.930.049	D053532	Xanthomonas axonopodis
B03.851	D013144	Spirochaetales
B03.900	D016999	Sulfur-Reducing Bacteria
